revision,date,author,number_of_lines,comment
1515856,"2015-09-08 16:52:10 +0100 (Tue, 08 Sep 2015)",Thomas,1,Update icons
1515669,"2015-09-08 13:00:44 +0100 (Tue, 08 Sep 2015)",Thomas,1,PHONE-1259: Phone Customer Reported Issue - App Icon is square rather than rounded corners
1515598,"2015-09-08 11:12:36 +0100 (Tue, 08 Sep 2015)",Thomas,1,Increased swipe time to 5 sec
1515597,"2015-09-08 11:09:10 +0100 (Tue, 08 Sep 2015)",Thomas,1,PHONE-1277: Phone Locker - Header Cut Off in Android Galaxy Tablet
1515550,"2015-09-08 09:46:51 +0100 (Tue, 08 Sep 2015)",Thomas,1,PHONE-1275: Android Galaxy Tablet - Image Carousel
1515469,"2015-09-07 18:02:26 +0100 (Mon, 07 Sep 2015)",Freddie,2,Cancel only the target operation instead of canceling all operations.
1515192,"2015-09-07 08:40:42 +0100 (Mon, 07 Sep 2015)",Freddie,2,fix the way the Cloud SDK is integrated for the upload. Reported from trunk.
1514885,"2015-09-04 15:28:55 +0100 (Fri, 04 Sep 2015)",/OU=Domain Control Validated/CN=svn.company.net,1,[gradle-release] prepare for next development iteration
1514854,"2015-09-04 14:45:09 +0100 (Fri, 04 Sep 2015)",Thomas,1,Fixed lint issue
1514848,"2015-09-04 14:35:07 +0100 (Fri, 04 Sep 2015)",Thomas,1,PHONE-1246: CR018 Carousel
1514769,"2015-09-04 12:36:03 +0100 (Fri, 04 Sep 2015)",Thomas,1,PHONE-1116: Phone 2.0 - Push notification icon Intermittently appear - Nexus 5.
1514659,"2015-09-04 10:33:11 +0100 (Fri, 04 Sep 2015)",Thomas,1,PHONE-1152: Phone 2.0 - Pop up message is displayed as creating music album when we are trying to creating photo album
1514632,"2015-09-04 09:24:09 +0100 (Fri, 04 Sep 2015)",Thomas,1,PHONE-1158: ATT Android || Inconsistence of 'Remove from Playlist' from contextual menu to title
1514422,"2015-09-03 16:43:11 +0100 (Thu, 03 Sep 2015)",Thomas,1,PHONE-1109: Phone 2.0 - Empty Pop up message is displayed when we tap on continue on Download paused Roaming detected screen.
1514088,"2015-09-03 10:11:46 +0100 (Thu, 03 Sep 2015)",Freddie,2,"extends to all I/O exceptions the pause of download operations, by using the latest Cloud SDK 1.0.8.18"
1511865,"2015-08-28 09:28:08 +0100 (Fri, 28 Aug 2015)",Freddie,2,Finer detection of the manager to call (remote or local file manager) depending on the state of the work
1511531,"2015-08-27 15:18:55 +0100 (Thu, 27 Aug 2015)",murari.krishnan,1,fixed PHONE-1104 No-Videos message is displayed under photos tab.
1511263,"2015-08-27 09:07:17 +0100 (Thu, 27 Aug 2015)",Thomas,1,Removed unused -keepclassmembers
1510630,"2015-08-26 10:51:19 +0100 (Wed, 26 Aug 2015)",Freddie,2,
1510560,"2015-08-26 09:41:24 +0100 (Wed, 26 Aug 2015)",Thomas,1,Merging 15.2 changes
1510491,"2015-08-26 08:12:56 +0100 (Wed, 26 Aug 2015)",Freddie,2,
1510251,"2015-08-25 17:19:59 +0100 (Tue, 25 Aug 2015)",Nicky,5,
1510206,"2015-08-25 16:28:54 +0100 (Tue, 25 Aug 2015)",Thomas,1,PHONE-1039: Phone 2.0 - Push notification icon is not matching on all devices.
1509790,"2015-08-25 09:34:01 +0100 (Tue, 25 Aug 2015)",Thomas,1,PHONE-995: ATT Android || Keypad is in visible state when we click on hamburger menu from the help screen search field
1509257,"2015-08-24 11:14:13 +0100 (Mon, 24 Aug 2015)",/OU=Domain Control Validated/CN=svn.company.net,1,[gradle-release] prepare for next development iteration
1509222,"2015-08-24 10:37:35 +0100 (Mon, 24 Aug 2015)",Jimmy,1,PHONE-363
1508948,"2015-08-21 16:50:38 +0100 (Fri, 21 Aug 2015)",Jimmy,1,PHONE-434
1508779,"2015-08-21 14:07:58 +0100 (Fri, 21 Aug 2015)",Jimmy,1,PHONE-996
1508685,"2015-08-21 12:12:20 +0100 (Fri, 21 Aug 2015)",Jimmy,1,PHONE-996
1508629,"2015-08-21 11:16:41 +0100 (Fri, 21 Aug 2015)",Jimmy,1,PHONE-854 - Changed sender ID
1508188,"2015-08-20 15:06:07 +0100 (Thu, 20 Aug 2015)",/OU=Domain Control Validated/CN=svn.company.net,1,[gradle-release] prepare for next development iteration
1508164,"2015-08-20 14:41:27 +0100 (Thu, 20 Aug 2015)",Jimmy,1,TypographyDashes fix
1508161,"2015-08-20 14:35:13 +0100 (Thu, 20 Aug 2015)",Jimmy,1,TypographyDashes fix
1508151,"2015-08-20 14:28:08 +0100 (Thu, 20 Aug 2015)",Jimmy,1,String updates
1508145,"2015-08-20 14:19:26 +0100 (Thu, 20 Aug 2015)",Jimmy,1,PHONE-908
1508044,"2015-08-20 12:05:30 +0100 (Thu, 20 Aug 2015)",Thomas,1,PHONE-812: CLONE - Phone - Handset - Phone Icon on What to Back up screen
1508020,"2015-08-20 11:49:01 +0100 (Thu, 20 Aug 2015)",Thomas,1,"PHONE-434: PHONE 2.0 - Slide menu title is ""Personal Cloud"""
1507926,"2015-08-20 09:42:08 +0100 (Thu, 20 Aug 2015)",Thomas,1,"PHONE-726: Phone 2.0 - Message displayed on tapping of ""Locker Backup Paused Roaming detected..."" notification is not as expected."
1507915,"2015-08-20 09:32:45 +0100 (Thu, 20 Aug 2015)",Thomas,1,"PHONE-916: Phone 2.0 - ""Get Start"" Button string is not clear - HTC desire 610."
1507705,"2015-08-19 16:54:40 +0100 (Wed, 19 Aug 2015)",Thomas,1,PHONE-957: Phone - About Screen Copyright
1507637,"2015-08-19 15:30:13 +0100 (Wed, 19 Aug 2015)",Thomas,1,PHONE-879: Phone 2.0 - First Time User Login Flow Every Time
1507417,"2015-08-19 10:47:31 +0100 (Wed, 19 Aug 2015)",Thomas,1,Fixed: libpng warning: iCCP: Not recognizing known sRGB profile that has been edited
1507415,"2015-08-19 10:46:16 +0100 (Wed, 19 Aug 2015)",Thomas,2,PHONE-854: CLONE - Push Notification are not Recieved Next Day
1507409,"2015-08-19 10:36:15 +0100 (Wed, 19 Aug 2015)",Thomas,2,PHONE-854: CLONE - Push Notification are not Recieved Next Day
1506528,"2015-08-17 16:22:32 +0100 (Mon, 17 Aug 2015)",Thomas,1,"PHONE-725: Phone 2.0 - ""Upload paused. Roaming detected."" Notification is not displayed on device notification tray when we download any content when user is in roaming data and WiFi is off."
1506431,"2015-08-17 13:36:03 +0100 (Mon, 17 Aug 2015)",Thomas,1,PHONE-807: Phone 2.0 - Repeat option in the Music Player is not working as expected
1505785,"2015-08-14 13:54:38 +0100 (Fri, 14 Aug 2015)",Jimmy,1,PHONE-879 - Added internal preference flag
1505761,"2015-08-14 13:17:45 +0100 (Fri, 14 Aug 2015)",Jimmy,1,PHONE-591
1505731,"2015-08-14 12:44:07 +0100 (Fri, 14 Aug 2015)",Jimmy,1,Modified code
1505616,"2015-08-14 09:38:08 +0100 (Fri, 14 Aug 2015)",Jimmy,1,Normalising code
1505141,"2015-08-13 14:59:27 +0100 (Thu, 13 Aug 2015)",/OU=Domain Control Validated/CN=svn.company.net,1,[gradle-release] prepare for next development iteration
1505095,"2015-08-13 14:11:18 +0100 (Thu, 13 Aug 2015)",Nicky,2,App does not open for Android M - Beta
1505036,"2015-08-13 13:24:34 +0100 (Thu, 13 Aug 2015)",/OU=Domain Control Validated/CN=svn.company.net,1,[gradle-release] prepare for next development iteration
1505021,"2015-08-13 12:56:59 +0100 (Thu, 13 Aug 2015)",Jimmy,1,String update
1504972,"2015-08-13 11:45:19 +0100 (Thu, 13 Aug 2015)",/OU=Domain Control Validated/CN=svn.company.net,1,[gradle-release] prepare for next development iteration
1504930,"2015-08-13 11:11:29 +0100 (Thu, 13 Aug 2015)",Jimmy,1,PHONE-549
1504897,"2015-08-13 10:34:01 +0100 (Thu, 13 Aug 2015)",Jimmy,1,Removed notification icons.
1504896,"2015-08-13 10:33:33 +0100 (Thu, 13 Aug 2015)",Jimmy,1,Modified
1504892,"2015-08-13 10:21:05 +0100 (Thu, 13 Aug 2015)",Jimmy,1,String updated
1504678,"2015-08-12 17:59:37 +0100 (Wed, 12 Aug 2015)",Jimmy,1,Removed temporary check for status
1504521,"2015-08-12 15:08:00 +0100 (Wed, 12 Aug 2015)",Jimmy,1,PHONE-799 - Modified the layout of the button to wrap the text
1504447,"2015-08-12 13:23:37 +0100 (Wed, 12 Aug 2015)",Jimmy,1,LINT FIX
1504404,"2015-08-12 12:19:41 +0100 (Wed, 12 Aug 2015)",Jimmy,1,PHONE-295
1504391,"2015-08-12 12:08:41 +0100 (Wed, 12 Aug 2015)",Jimmy,1,Added migration activity
1504316,"2015-08-12 10:29:11 +0100 (Wed, 12 Aug 2015)",Jimmy,2,Added migration status screen
1504239,"2015-08-12 08:26:25 +0100 (Wed, 12 Aug 2015)",Jimmy,1,Added backup status
1503167,"2015-08-10 14:30:21 +0100 (Mon, 10 Aug 2015)",Jimmy,1,Added strings as translated for phraseapp
1503160,"2015-08-10 14:25:22 +0100 (Mon, 10 Aug 2015)",Jimmy,1,Added strings as translated for phraseapp
1503152,"2015-08-10 14:06:28 +0100 (Mon, 10 Aug 2015)",Jimmy,1,Added strings as translated for phraseapp
1503149,"2015-08-10 14:01:26 +0100 (Mon, 10 Aug 2015)",Jimmy,1,Added strings as translated for phraseapp
1502449,"2015-08-07 13:55:01 +0100 (Fri, 07 Aug 2015)",Jimmy,1,Removed unused import
1502425,"2015-08-07 13:29:04 +0100 (Fri, 07 Aug 2015)",Jimmy,1,PHONE-434 Changed Slide Menu changed to Phone Locker
1502023,"2015-08-06 16:44:44 +0100 (Thu, 06 Aug 2015)",Thomas,1,Remove sliding menu header
1501699,"2015-08-06 10:00:39 +0100 (Thu, 06 Aug 2015)",/OU=Domain Control Validated/CN=svn.company.net,1,[gradle-release] prepare for next development iteration
1501400,"2015-08-05 15:58:41 +0100 (Wed, 05 Aug 2015)",Thomas,1,"Share optimisation, don't do thumbnails request for non media items"
1501345,"2015-08-05 14:43:58 +0100 (Wed, 05 Aug 2015)",Thomas,1,PHONE-551: Phone 2.0 - Push notification is starting download of the shared file
1501337,"2015-08-05 14:30:09 +0100 (Wed, 05 Aug 2015)",Jimmy,1,PHONE-681
1501323,"2015-08-05 14:16:44 +0100 (Wed, 05 Aug 2015)",Jimmy,1,PHONE-549 - Suppressed view when not data is available
1501134,"2015-08-05 10:36:03 +0100 (Wed, 05 Aug 2015)",Thomas,1,Exclude non en and ldpi resources from client-att client
1500801,"2015-08-04 16:34:43 +0100 (Tue, 04 Aug 2015)",Thomas,1,Removed unused contacts related classes
1500768,"2015-08-04 16:00:51 +0100 (Tue, 04 Aug 2015)",Thomas,1,Removed unused BackupNowActivity
1500697,"2015-08-04 14:47:30 +0100 (Tue, 04 Aug 2015)",Thomas,1,PHONE-651: Phone 2.0 - Add files pop up is not displayed as expected when we try to add more files to share
1500688,"2015-08-04 14:31:44 +0100 (Tue, 04 Aug 2015)",Thomas,1,PHONE-654: Phone 2.0 - App is crashing when we double tap on device back key when favoriting/unfavoriting content is in progress.
1500683,"2015-08-04 14:27:27 +0100 (Tue, 04 Aug 2015)",Jimmy,1,Lint modification
1500676,"2015-08-04 14:16:37 +0100 (Tue, 04 Aug 2015)",Jimmy,1,Lint modification
1500671,"2015-08-04 14:11:09 +0100 (Tue, 04 Aug 2015)",Jimmy,1,Lint modification
1500665,"2015-08-04 14:04:57 +0100 (Tue, 04 Aug 2015)",Thomas,1,PHONE-591: Phone 2.0 - 'Report Abusive Content' is available in Share tab.
1500664,"2015-08-04 14:04:25 +0100 (Tue, 04 Aug 2015)",Jimmy,1,Lint modification
1500656,"2015-08-04 13:54:05 +0100 (Tue, 04 Aug 2015)",Jimmy,1,PHONE-363 - Updated notification icon
1500654,"2015-08-04 13:49:54 +0100 (Tue, 04 Aug 2015)",Thomas,1,"PHONE-552: Phone 2.0 - ""About"" not implemented in settings."
1500629,"2015-08-04 13:17:59 +0100 (Tue, 04 Aug 2015)",Jimmy,1,Build fix
1500628,"2015-08-04 13:09:04 +0100 (Tue, 04 Aug 2015)",Jimmy,1,PHONE-613 - Removed tile
1500605,"2015-08-04 12:06:10 +0100 (Tue, 04 Aug 2015)",Thomas,1,"PHONE-623: Phone 2.0 - ""Remove from Playlist"" pop up is displayed when user try to remove Photo or video from an album."
1500577,"2015-08-04 11:38:01 +0100 (Tue, 04 Aug 2015)",Thomas,1,Removed unused UserChanged
1500567,"2015-08-04 11:32:33 +0100 (Tue, 04 Aug 2015)",Thomas,1,Removed unused ContactsActivity
1500550,"2015-08-04 11:20:26 +0100 (Tue, 04 Aug 2015)",Jimmy,1,PHONE-547 - Added rounded buttons accross the board
1500540,"2015-08-04 11:11:54 +0100 (Tue, 04 Aug 2015)",Thomas,1,Removed unused
1500536,"2015-08-04 11:04:57 +0100 (Tue, 04 Aug 2015)",Thomas,1,"Removed specific VZW provisioning_flow_enabled , contacts clean up and contacts history"
1499589,"2015-07-31 14:45:12 +0100 (Fri, 31 Jul 2015)",Thomas,1,Removed unused resources
1499580,"2015-07-31 14:38:41 +0100 (Fri, 31 Jul 2015)",Thomas,1,Removed NAB QuotaManagement feature
1499551,"2015-07-31 14:02:01 +0100 (Fri, 31 Jul 2015)",Thomas,1,"PHONE-578: ""/n"" showing up in string rather than text moving to new line"
1499540,"2015-07-31 13:53:01 +0100 (Fri, 31 Jul 2015)",Thomas,1,Removed Reliance specific login and download classes
1499498,"2015-07-31 13:13:05 +0100 (Fri, 31 Jul 2015)",Thomas,1,Set mct.cloud.fallback to false
1499392,"2015-07-31 11:25:54 +0100 (Fri, 31 Jul 2015)",Thomas,1,PHONE-418: Login errors need to be handled.
1499015,"2015-07-30 15:31:45 +0100 (Thu, 30 Jul 2015)",/OU=Domain Control Validated/CN=svn.company.net,1,[gradle-release] prepare for next development iteration
1498989,"2015-07-30 15:01:09 +0100 (Thu, 30 Jul 2015)",Thomas,1,"Put translatable=""false"""
1498978,"2015-07-30 14:50:17 +0100 (Thu, 30 Jul 2015)",Thomas,1,Updated icon.png
1498977,"2015-07-30 14:49:48 +0100 (Thu, 30 Jul 2015)",Thomas,1,Fixing libpng warning: iCCP: Not recognizing known sRGB profile that has been edited
1498965,"2015-07-30 14:39:58 +0100 (Thu, 30 Jul 2015)",Thomas,1,Added ignores UnusedResources
1498952,"2015-07-30 14:33:20 +0100 (Thu, 30 Jul 2015)",Thomas,1,Removed unused strings
1498934,"2015-07-30 14:09:42 +0100 (Thu, 30 Jul 2015)",Thomas,2,"Moved nab_account_type, dataclasses, dataclasses_extended_pcloud and dataclasses_extended_mct into configuration"
1498787,"2015-07-30 10:43:33 +0100 (Thu, 30 Jul 2015)",/OU=Domain Control Validated/CN=svn.company.net,1,[gradle-release] prepare for next development iteration
1498744,"2015-07-30 09:58:03 +0100 (Thu, 30 Jul 2015)",Thomas,1,Changed release email subject
1498709,"2015-07-30 09:05:21 +0100 (Thu, 30 Jul 2015)",Thomas,1,"PHONE-423: External web addresses for auth, upgrade and logout need to be retrieved from SNC."
1498319,"2015-07-29 14:46:30 +0100 (Wed, 29 Jul 2015)",Thomas,1,Update prod values
1498300,"2015-07-29 14:20:59 +0100 (Wed, 29 Jul 2015)",Thomas,1,Set up correct prod endpoints
1498083,"2015-07-29 10:06:55 +0100 (Wed, 29 Jul 2015)",Thomas,1,PHONE-340: Phone 2.0 - PUSH Notification are not working - DEV / API
1497536,"2015-07-28 10:22:46 +0100 (Tue, 28 Jul 2015)",Thomas,1,PHONE-491: Phone - Countly End Points
1497472,"2015-07-28 08:38:12 +0100 (Tue, 28 Jul 2015)",Thomas,1,Set gap strategy to GAP_HANDLING_NONE
1497063,"2015-07-27 13:01:18 +0100 (Mon, 27 Jul 2015)",Nicky,3,
1496931,"2015-07-27 10:10:44 +0100 (Mon, 27 Jul 2015)",Thomas,1,PHONE-471: Phone - Shadow ro right of Logo
1496908,"2015-07-27 09:26:01 +0100 (Mon, 27 Jul 2015)",Thomas,1,PHONE-478: PHONE 2.0 - Homescreen Timeline should be bolded
1496519,"2015-07-24 16:13:21 +0100 (Fri, 24 Jul 2015)",Thomas,1,"Added QA Tested to the jira report, revert settings.gradle"
1496513,"2015-07-24 16:00:58 +0100 (Fri, 24 Jul 2015)",Thomas,1,Wrong commit
1496435,"2015-07-24 14:43:57 +0100 (Fri, 24 Jul 2015)",/OU=Domain Control Validated/CN=svn.company.net,1,[gradle-release] prepare for next development iteration
1496285,"2015-07-24 11:49:13 +0100 (Fri, 24 Jul 2015)",Thomas,1,Changed project jira key
1496265,"2015-07-24 11:27:05 +0100 (Fri, 24 Jul 2015)",Thomas,1,"PHONE-397: Phone 2.0 - ""Content found"" notification does not pop up."
1496231,"2015-07-24 10:45:10 +0100 (Fri, 24 Jul 2015)",Thomas,1,"PHONE-466: Phone 2.0 - ""MigrationInfo"" Text appears frequently went navigate to ""what to back up""."
1496204,"2015-07-24 09:43:16 +0100 (Fri, 24 Jul 2015)",Thomas,1,"PHONE-434: PHONE 2.0 - Slide menu title is ""Personal Cloud"""
1496201,"2015-07-24 09:37:34 +0100 (Fri, 24 Jul 2015)",Thomas,1,PHONE-436: Phone - Disable TV Beaming
1496198,"2015-07-24 09:30:51 +0100 (Fri, 24 Jul 2015)",Thomas,2,PHONE-464: Phone 2.0 - App Crashes when you navigate to Share tab.
1495947,"2015-07-23 16:09:42 +0100 (Thu, 23 Jul 2015)",Thomas,1,Moved app recommendations icons into client
1495875,"2015-07-23 15:00:50 +0100 (Thu, 23 Jul 2015)",/OU=Domain Control Validated/CN=svn.company.net,1,[gradle-release] prepare for next development iteration
1495841,"2015-07-23 14:32:43 +0100 (Thu, 23 Jul 2015)",Thomas,1,Removed UnusedResources
1495830,"2015-07-23 14:21:42 +0100 (Thu, 23 Jul 2015)",Thomas,1,Added lint ignore for UnusedResources
1495815,"2015-07-23 14:14:21 +0100 (Thu, 23 Jul 2015)",Thomas,1,Removed unused resources and enabled UnusedResources lint rule
1495607,"2015-07-23 09:37:01 +0100 (Thu, 23 Jul 2015)",Dave,1,merge in the latest changes from 15.2 to revision -r1495084
1495598,"2015-07-23 09:24:09 +0100 (Thu, 23 Jul 2015)",Thomas,1,Removed v11 drawables
1495589,"2015-07-23 09:12:29 +0100 (Thu, 23 Jul 2015)",Thomas,1,Revert deletion
1495583,"2015-07-23 08:48:05 +0100 (Thu, 23 Jul 2015)",Thomas,1,Removed unused assets
1495579,"2015-07-23 08:44:05 +0100 (Thu, 23 Jul 2015)",Thomas,1,Removed unused assets
1495354,"2015-07-22 16:15:58 +0100 (Wed, 22 Jul 2015)",Thomas,1,Optimised assets
1495232,"2015-07-22 14:04:49 +0100 (Wed, 22 Jul 2015)",Nicky,2,ATTLocker 2.0 - Failed to Re-auth
1494629,"2015-07-21 14:29:13 +0100 (Tue, 21 Jul 2015)",Thomas,1,Remove wizard images
1494572,"2015-07-21 13:09:10 +0100 (Tue, 21 Jul 2015)",Jimmy,1,Added migration info popup
1494569,"2015-07-21 12:57:12 +0100 (Tue, 21 Jul 2015)",Jimmy,1,Added migration info popup
1494523,"2015-07-21 11:54:34 +0100 (Tue, 21 Jul 2015)",Jimmy,1,Added String overload
1494517,"2015-07-21 11:45:38 +0100 (Tue, 21 Jul 2015)",Jimmy,1,Added migration info parsing
1494495,"2015-07-21 11:20:23 +0100 (Tue, 21 Jul 2015)",Jimmy,1,Added qa config
1494003,"2015-07-20 12:08:48 +0100 (Mon, 20 Jul 2015)",Jimmy,1,PHONE-392
1493570,"2015-07-17 13:54:22 +0100 (Fri, 17 Jul 2015)",Jimmy,1,Modified test case
1493569,"2015-07-17 13:49:52 +0100 (Fri, 17 Jul 2015)",Jimmy,1,Updated migration classes
1493563,"2015-07-17 13:28:41 +0100 (Fri, 17 Jul 2015)",Jimmy,1,Added migration class and tests
1493562,"2015-07-17 13:27:38 +0100 (Fri, 17 Jul 2015)",Jimmy,1,Added migration class and tests
1493503,"2015-07-17 11:58:34 +0100 (Fri, 17 Jul 2015)",/OU=Domain Control Validated/CN=svn.company.net,1,[gradle-release] prepare for next development iteration
1493417,"2015-07-17 10:14:16 +0100 (Fri, 17 Jul 2015)",Jimmy,1,Added configuration for intro screen
1493381,"2015-07-17 08:39:34 +0100 (Fri, 17 Jul 2015)",Thomas,1,Fixed release build.
1493269,"2015-07-16 19:32:25 +0100 (Thu, 16 Jul 2015)",Nicky,2,Phone 2.0 - Device is not uploading or downloading.
1493202,"2015-07-16 16:48:08 +0100 (Thu, 16 Jul 2015)",Thomas,1,Removed translatable flag
1493081,"2015-07-16 14:47:09 +0100 (Thu, 16 Jul 2015)",Jimmy,1,PHONE-354
1493067,"2015-07-16 14:37:37 +0100 (Thu, 16 Jul 2015)",Alan,2,"Phone 2.0 - ""Report Abusive Content"" is available."
1493044,"2015-07-16 14:02:49 +0100 (Thu, 16 Jul 2015)",Jimmy,1,PHONE-348
1493036,"2015-07-16 13:51:17 +0100 (Thu, 16 Jul 2015)",Jimmy,1,PHONE-348
1493028,"2015-07-16 13:41:50 +0100 (Thu, 16 Jul 2015)",Jimmy,1,PHONE-348
1492956,"2015-07-16 11:51:46 +0100 (Thu, 16 Jul 2015)",Alan,2,"Phone 2.0 - ""Invitations and Referrals"" tool is available."
1492955,"2015-07-16 11:48:20 +0100 (Thu, 16 Jul 2015)",Alan,2,Phone 2.0 - Home Screen redsign is OFF
1492513,"2015-07-15 15:46:38 +0100 (Wed, 15 Jul 2015)",/OU=Domain Control Validated/CN=svn.company.net,1,[gradle-release] prepare for next development iteration
1492481,"2015-07-15 15:25:12 +0100 (Wed, 15 Jul 2015)",Alan,1,Phone Locker changes for 15.2 Branch
1492470,"2015-07-15 15:08:50 +0100 (Wed, 15 Jul 2015)",Jimmy,1,Partial code cleanup
1492457,"2015-07-15 15:02:58 +0100 (Wed, 15 Jul 2015)",Jimmy,1,Partial code cleanup
1492455,"2015-07-15 15:00:04 +0100 (Wed, 15 Jul 2015)",Jimmy,1,Partial code cleanup
1492414,"2015-07-15 14:04:56 +0100 (Wed, 15 Jul 2015)",Jimmy,1,Revved
1492409,"2015-07-15 13:55:46 +0100 (Wed, 15 Jul 2015)",Jimmy,1,Added dev build variant
1492405,"2015-07-15 13:49:47 +0100 (Wed, 15 Jul 2015)",/OU=Domain Control Validated/CN=svn.company.net,1,[gradle-release] prepare for next development iteration
1492402,"2015-07-15 13:48:45 +0100 (Wed, 15 Jul 2015)",Jimmy,1,Modified mail template
1492399,"2015-07-15 13:42:17 +0100 (Wed, 15 Jul 2015)",Jimmy,1,Prep for release
1492395,"2015-07-15 13:30:01 +0100 (Wed, 15 Jul 2015)",Jimmy,1,Code cleanup
1492330,"2015-07-15 11:55:03 +0100 (Wed, 15 Jul 2015)",Jimmy,1,Plan management
1492308,"2015-07-15 11:33:28 +0100 (Wed, 15 Jul 2015)",Jimmy,1,Added boolean to upgrade
1491912,"2015-07-14 14:56:43 +0100 (Tue, 14 Jul 2015)",Jimmy,1,Partial code cleanup
1491892,"2015-07-14 14:40:44 +0100 (Tue, 14 Jul 2015)",Jimmy,1,Partial code cleanup
1491875,"2015-07-14 14:18:59 +0100 (Tue, 14 Jul 2015)",Jimmy,1,Partial code cleanup
1491866,"2015-07-14 14:06:22 +0100 (Tue, 14 Jul 2015)",Jimmy,1,Partial code clean
1491858,"2015-07-14 13:49:51 +0100 (Tue, 14 Jul 2015)",Jimmy,1,Removed dead code
1491856,"2015-07-14 13:42:45 +0100 (Tue, 14 Jul 2015)",Jimmy,1,modified chsettings content provider for at&t
1491802,"2015-07-14 12:25:40 +0100 (Tue, 14 Jul 2015)",Jimmy,1,Authentication for locker
1491445,"2015-07-13 16:29:13 +0100 (Mon, 13 Jul 2015)",Thomas,1,Removed Ril classes
1491442,"2015-07-13 16:22:25 +0100 (Mon, 13 Jul 2015)",Thomas,1,Removed Ril classes
1491435,"2015-07-13 16:17:26 +0100 (Mon, 13 Jul 2015)",Thomas,1,Correct url and tag name for branch tagging
1491428,"2015-07-13 16:12:14 +0100 (Mon, 13 Jul 2015)",Thomas,1,Use 15.2.30.x versioning scheme for branch
1491425,"2015-07-13 16:08:55 +0100 (Mon, 13 Jul 2015)",Thomas,1,Removed old TV functionality
1491421,"2015-07-13 16:03:32 +0100 (Mon, 13 Jul 2015)",Thomas,1,Removed old TV functionality
1491420,"2015-07-13 16:00:35 +0100 (Mon, 13 Jul 2015)",Thomas,1,Removed old TV functionality
1491333,"2015-07-13 13:59:14 +0100 (Mon, 13 Jul 2015)",Jimmy,1,directed the auth callback to point at the AtpAuthActivity class
1491323,"2015-07-13 13:48:50 +0100 (Mon, 13 Jul 2015)",Jimmy,1,Added application identifier to auth call
1491315,"2015-07-13 13:06:21 +0100 (Mon, 13 Jul 2015)",Jimmy,1,Added web UI for auth
1491272,"2015-07-13 11:52:09 +0100 (Mon, 13 Jul 2015)",Thomas,1,Added ignorance
1491254,"2015-07-13 11:32:02 +0100 (Mon, 13 Jul 2015)",Alan,1,icon renamed as ic_launcher.png
1491229,"2015-07-13 11:03:48 +0100 (Mon, 13 Jul 2015)",Jimmy,1,"Added configuration for web auth, plan management and logout"
1491146,"2015-07-13 09:21:48 +0100 (Mon, 13 Jul 2015)",Thomas,1,Rename folder
